Country Name,Singapore,,,,
1960,,,",",,","
1961,8.14,,"8.14,",,"8.14,"
1962,7.55,,"7.55,",,"7.55,"
1963,10.04,,"10.04,",,"10.04,"
1964,-3.1,,"-3.1,",,"-3.1,"
1965,7.83,,"7.83,",,"7.83,"
1966,10.18,,"10.18,",,"10.18,"
1967,12.51,,"12.51,",,"12.51,"
1968,13.53,,"13.53,",,"13.53,"
1969,13.83,,"13.83,",,"13.83,"
1970,13.94,,"13.94,",,"13.94,"
1971,12.41,,"12.41,",,"12.41,"
1972,13.32,,"13.32,",,"13.32,"
1973,10.6,,"10.6,",,"10.6,"
1974,6.12,,"6.12,",,"6.12,"
1975,3.99,,"3.99,",,"3.99,"
1976,7.44,,"7.44,",,"7.44,"
1977,6.85,,"6.85,",,"6.85,"
1978,7.78,,"7.78,",,"7.78,"
1979,9.55,,"9.55,",,"9.55,"
1980,10.11,,"10.11,",,"10.11,"
1981,10.82,,"10.82,",,"10.82,"
1982,7.1,,"7.1,",,"7.1,"
1983,8.55,,"8.55,",,"8.55,"
1984,8.79,,"8.79,",,"8.79,"
1985,-0.62,,"-0.62,",,"-0.62,"
1986,1.34,,"1.34,",,"1.34,"
1987,10.8,,"10.8,",,"10.8,"
1988,11.26,,"11.26,",,"11.26,"
1989,10.16,,"10.16,",,"10.16,"
1990,9.82,,"9.82,",,"9.82,"
1991,6.69,,"6.69,",,"6.69,"
1992,6.64,,"6.64,",,"6.64,"
1993,11.46,,"11.46,",,"11.46,"
1994,11.1,,"11.1,",,"11.1,"
1995,7.18,,"7.18,",,"7.18,"
1996,7.47,,"7.47,",,"7.47,"
1997,8.32,,"8.32,",,"8.32,"
1998,-2.19,,"-2.19,",,"-2.19,"
1999,5.72,,"5.72,",,"5.72,"
2000,9.04,,"9.04,",,"9.04,"
2001,-1.07,,"-1.07,",,"-1.07,"
2002,3.92,,"3.92,",,"3.92,"
2003,4.55,,"4.55,",,"4.55,"
2004,9.94,,"9.94,",,"9.94,"
2005,7.37,,"7.37,",,"7.37,"
2006,9.01,,"9.01,",,"9.01,"
2007,9.02,,"9.02,",,"9.02,"
2008,1.86,,"1.86,",,"1.86,"
2009,0.13,,"0.13,",,"0.13,"
2010,14.52,,"14.52,",,"14.52,"
2011,6.21,,"6.21,",,"6.21,"
2012,4.44,,"4.44,",,"4.44,"
2013,4.82,,"4.82,",,"4.82,"
2014,3.94,,"3.94,",,"3.94,"
2015,2.98,,"2.98,",,"2.98,"
2016,3.56,,"3.56,",,"3.56,"
2017,4.66,,"4.66,",,"4.66,"
2018,3.66,,"3.66,",,"3.66,"
2019,1.1,,"1.1,",,"1.1,"
2020,-4.14,,"-4.14,",,"-4.14,"
2021,7.61,,"7.61,",,"7.61,"
